"Symbol","Description","Leverage Factor","Category1","Category2","Category3","Market cap","Average volume","Actions"
"GLD","SPDR Gold Shares ETF","1.00","Commodities","Precious metals","Gold","$63,931,392,000","9,851,284","Analyze"
"IAU","iShares COMEX Gold Trust ETF","1.00","Commodities","Precious metals","Gold","$30,630,635,000","18,842,921","Analyze"
"SLV","iShares Silver Trust ETF","1.00","Commodities","Precious metals","Silver","$16,096,850,000","26,962,229","Analyze"
"PDBC","Invesco DB Optimum Yield Diversified Commodity Strategy ETF","1.00","Commodities","Broad market","Actively managed","$5,922,224,000","5,732,197","Analyze"
"GLDM","SPDR Gold MiniShares Trust ETF","1.00","Commodities","Precious metals","Gold","$4,609,455,000","2,511,933","Analyze"
"USO","United States Oil ETF","1.00","Commodities","Energy","Oil","$3,094,174,048","5,416,326","Analyze"
"DBC","Invesco DB Commodity Index Tracking Fund ETF","1.00","Commodities","Broad market","Varied term futures","$2,492,400,000","4,330,691","Analyze"
"COMT","iShares Commodities Select Strategy ETF","1.00","Commodities","Broad market","Actively managed","$1,891,830,000","2,232,833","Analyze"
"PPLT","Aberdeen Physical Platinum Shares ETF","1.00","Commodities","Precious metals","Platinum","$1,502,256,000","113,606","Analyze"
"FTGC","First Trust Global Tactical Commodity Strategy Fund ETF","1.00","Commodities","Broad market","Actively managed","$1,458,738,749","1,022,949","Analyze"
"GSG","iShares GSCI Commodity-Indexed Trust Fund ETF","1.00","Commodities","Broad market","Front month futures","$1,370,529,000","2,129,366","Analyze"
"UCO","Ultra Bloomberg Crude Oil (2x) ETF","2.00","Commodities","Energy","Oil","$1,162,889,158","990,081","Analyze"
"BAR","GraniteShares Gold Trust ETF","1.00","Commodities","Precious metals","Gold","$1,147,498,000","461,977","Analyze"
"SIVR","Aberdeen Silver Trust ETF","1.00","Commodities","Precious metals","Silver","$1,097,272,000","827,382","Analyze"
"GLTR","Aberdeen Physical Precious Metals Basket Shares ETF","1.00","Commodities","Precious metals","Broad market","$1,049,376,000","48,268","Analyze"
"DBA","Invesco DB Agriculture Fund ETF","1.00","Commodities","Agriculture","Broad market","$987,129,000","1,840,712","Analyze"
"AGQ","ProShares Ultra 2X Silver ETF","2.00","Commodities","Precious metals","Silver","$738,435,445","1,101,062","Analyze"
"DJP","iPath Dow Jones-UBS Commodity Index Total Return ETN","1.00","Commodities","Broad market","Front month futures","$674,152,064","229,845","Analyze"
"BCI","Aberdeen Bloomberg All Commodity K-1 Free Strategy ETF","1.00","Commodities","Broad market","Actively managed","$638,248,000","132,395","Analyze"
"DBO","Invesco DB Oil Fund ETF","1.00","Commodities","Energy","Oil","$507,078,000","917,721","Analyze"
"OUNZ","Merk Gold Trust ETF","1.00","Commodities","Precious metals","Gold","$496,876,932","265,193","Analyze"
"WGLD","Wilshire wShares Enhanced Gold Trust ETF","1.00","Commodities","Precious metals","Gold","$475,747,500","794","Analyze"
"PALL","Aberdeen Physical Palladium Shares ETF","1.00","Commodities","Precious metals","Palladium","$473,670,000","31,583","Analyze"
"DBB","Invesco DB Base Metals Fund ETF","1.00","Commodities","Metals","Broad market","$408,195,000","412,072","Analyze"
"UUP","US Dollar Index Bullish ETF","1.00","Commodities","Currency","Developed markets","$377,832,000","845,189","Analyze"
"AAAU","Perth Mint Physical Gold ETF","1.00","Commodities","Precious metals","Gold","$371,322,000","391,239","Analyze"
"CPER","United States Copper ETF","1.00","Commodities","Metals","Single metal","$350,527,500","606,832","Analyze"
"BNO","United States Brent Crude Oil ETF","1.00","Commodities","Energy","Oil","$319,621,500","948,020","Analyze"
"FXE","Invesco CurrencyShares Euro Trust ETF","1.00","Commodities","Currency","Single currency","$285,125,000","54,244","Analyze"
"UGL","Ultra (2x) Gold ETF","2.00","Commodities","Precious metals","Gold","$263,188,500","165,764","Analyze"
"FXF","Invesco CurrencyShares Swiss Franc Trust ETF","1.00","Commodities","Currency","Single currency","$262,106,000","30,046","Analyze"
"UNG","United States Natural Gas ETF","1.00","Commodities","Energy","Natural gas","$246,005,866","2,091,438","Analyze"
"COMB","GraniteShares Bloomberg Commodity Broad Strategy No K-1 ETF","1.00","Commodities","Broad market","Actively managed","$217,916,000","84,376","Analyze"
"USCI","United States Commodity Index  ETF","1.00","Commodities","Broad market","Varied term futures","$212,572,500","64,661","Analyze"
"GCC","GreenHaven Continuous Commodity Index Fund ETF","1.00","Commodities","Broad market","Varied term futures","$200,970,000","114,328","Analyze"
"COM","Direxion Auspice Broad Commodity Strategy ETF","1.00","Commodities","Broad market","Actively managed","$200,947,530","175,018","Analyze"
"USL","United States 12 Month Oil Fund  ETF","1.00","Commodities","Energy","Oil","$196,980,000","128,340","Analyze"
"CORN","Teucrium Corn  ETF","1.00","Commodities","Agriculture","Single commodity","$191,233,331","673,370","Analyze"
"FXC","Invesco CurrencyShares Canadian Dollar Trust ETF","1.00","Commodities","Currency","Single currency","$170,667,000","58,268","Analyze"
"FXY","Invesco CurrencyShares Japanese Yen Trust ETF","1.00","Commodities","Currency","Single currency","$162,944,000","35,812","Analyze"
"FXB","Invesco CurrencyShares British Pound Dollar Trust ETF","1.00","Commodities","Currency","Single currency","$157,430,055","12,644","Analyze"
"FXA","Invesco CurrencyShares Australian Dollar Trust ETF","1.00","Commodities","Currency","Single currency","$137,952,000","32,595","Analyze"
"RJI","ELEMENTS Linked to the Rogers International Commodity Index ETN","1.00","Commodities","Broad market","Front month futures","$131,589,904","125,179","Analyze"
